Cười cl j z 	
Liu liu bị ngta chửi Xàm Cức 🤣	
Hok có gì mắc cười 	
ĐỌC TÊN EM ĐI CHỊ	
Vui chỗ nào chị ơi	
Cười vậy là chết em r	1
Thằng bé : ơ đm con ngựa này điên à	1
Sợ quá khoá hết cmt à con	
zui quá :v	
Mắc cười quá hihi	
App nào vậy chị	
Con điên. Ns thì ns mẹ đi. Cười nh con điên	
Lô chị	
Nhạt vl như con điên	
Vcl có j vui 	
Cười quá tr cười	
Kém duyên	
Thư Lê	
Đéo có j buồn cười mà vẫn cười :))	
chị học đại học gì vậy ạ 	
Haha buồn cười ghê :)	
Zdui he :)))	
vui wa đi nè hahahhahhaahahah 	
ĐỌC TÊN EM ĐI CHỊ	
zuii qué	
ủa mắc cười chỗ nào zậy chị :)))))))	
HI cj	
Lô chị	
Chào c	
	
Chị hài quá c ơi :)	
Vcl	
Buồn cười quá à	
Dù mọi người có  xa lánh em thì chị vẫn đứng về phía mọi ngừoi mà 🙂 em yên tâm nha 	
Mắc cười quá cười khà khà	
Chào chị 	
Bớt dẹo	
ơi con đĩ	1
de thuong z❤️❤️	
ĐỌC TÊN EM ĐI CHỊ	
Chị cười cute sao phải che miệng zị	
Mắc cừi wa'	
Chị ở gia lai hả	
Hi chị 	
Má đừng cười nữa 🙂	
mắc cười chổ nào v mn ? 😀	
chị còn trẻ trâu k?	
 Tiên nữ giáng trần 	
Sao tui thấy nhạt mà bả cười ghê zậy ? :)	
mũi sưng hả chị :(	
Việt nam ???	
Mắc cười ghê :) 	
Quaooo thật là vuiiii 🙂	
ĐỌC TÊN EM ĐI CHỊ	
Mắc cười ghee :))	
Chị cười cái mà e tắt nứng luôn ớ . Thâu c khép miệng dùm e cái :))	
Gì dị má 	
Như lồn á	
Cái nết vẫn y như xưa. =)))) bớt cười cho đẹp tr	
mắc cuoii quá à	
đieu thay on luon	
Như đb	
	
Niềm nam là sg đó	
Thả cái lôfn vào mặt mày chứ tim con cằc	
haha	
Thôi thấy ko dui nên đành thả phẫn nộ	
Đeo thả tym	
? : D	
Chị Tâm hello em điiiiiiiiiiii	
.. 	
ĐỌC TÊN EM ĐI CHỊ	
Sao chị cười quá trời vậy chị. Tới khúc vui chưa chi	
Vcl chào em	
nhạt vll	
... 	
HElo chị	
Quý Duy Đoàn vào xem ne	
Xàm xí đú	
	
Như buoi	
Hơ hơ mắc cười quá chị ơi :)	
Hello	
Phương Ngân	
. Mm	
ĐỌC TÊN EM ĐI CHỊ	
chào Tâm	
Ủa chị nhạt hả..... ???? Chị đang làm ra chị vui tính hả??? Ủa như cạk vậy chị	
lộ quá mất hết hình tượng đấy chị	
Mắc cừi wa’ hahahaaaaaaa	
Yến Vy để t học :( 	
con đĩ	1
Xúc phạm người nhìn	
Hoa Lệ	
K hiểu chuyện gì sảy ra :<	
Nl hả má :)	
Ha ha ha x3.14 	
Lô chịiii	
Có lố quá khong chị yêu	
buồn cười quá Po ơi :)))	
Zui ghê =)) zuii quá đi cười khà khà khà	
nói nhỏ thôi bà nọi t ngủ	
Vẩu quá em gái	
Như đb	
Nhạt :)	
:)	
Tao thích câu "xàm cức" 🤣	
Chị ơi răng bay như mưa rồi kia 🙄	
nói chuyện vô duyệ ghe	
Chị nói chuyện nghe như lồn chệch dưới mương	
Loz này mới chơi cỏ mới gọi r	
Cười nhe hết cả răng ra	
nẹp răng mà hô zữ vậy chị ._.	
Buồn cười quá haha	
Chị Tâm 	
ĐỌC TÊN EM ĐI CHỊ	
Mỹ Huyền dui qá à	
Ơ sao chị này lại đéo xinh như trong hình vậy ạ? 	
? 	
Vô duyên kêu ngta tải đã rồi kêu ngta đi học bài là đéo nào?	
hahaha :) 	
mêu mếu mêu mều mêu	
Tao nghe mà tao tức cái lồng ngực	
Thủy Tiên	
hk pts mũi nua ha	
Răng hô 	
hello chị	
M bị động kinh à	
Khánh Ngọc Kim Yến vui kìa mng ạ 	
Tắt live đi 	
Buồn cười quá à	
chị tâm livestream tới mấy giờ vậy chị	
Yêu quá	
Chị ơi	
	
chị tâm livestream tới mấy giờ vậy chị	
éo hiểu kiểu gì	
Hello chị 	
Vuii ghê 	
chị tâm livestream tới mấy giờ vậy chị	
nhạt thật	
Quao :) 	
ĐỌC TÊN EM ĐI CHỊ	
Nhìn như con điên=))	
Làm như là thiên thần dậy á. Kiểu bí hiểm kh biết chị là ai. Nghe mắc ỉa	
zuii qué nên cười	
Nhạt vcl	
kkkkkkkkkkkkk	
chị nói chuyện từ từ thôi	
ủa	
=)) dễ thương xểuu	
Tới  khúc dui ch?	
Chị bị điên hong c 	
Hello chị	
chị học đại học gì vậy ạ ? 	
Tóc hơi rối nhé chị ơi	
Chị ăn muối zô cho đỡ nhạt nha chị 	
Tâm ơi	
Đm xấu vcc	1
hello cj	
hello chị Trần Thanh Tâm	
chị tâm livestream tới mấy giờ vậy chị	
sao mũi to quá vậy chị :((((	
Chị ơi	
iu ckj	
Gọi mặt chị là yêu tinh	
hỗn đi 	
Em còn làm ở đó k ta	
	
che răng chị ơi 	
Thủy Đặng dẹo vãi lồn dcm	
ckj đou coá nhẹt đou ckj mặn wa	
Tóc xù v	
Con điên	
Bùn cừi lắm hả	
Nkat	
Càng ngày càng xấu	
Như đách loz	
kakak	
hóng chung	
Nguyễn Hồng Ngát vào xem live của chị này :)))))))	
Chị ơi	
Cái dm hót gơ quận cam	
Chào Bùi Hoàng Bảo Xuyến và Lam Ngăn	
"Khép mỏ lại chị ư 
"	
Vẩu thật 	
Ăn gì nhạt quá má ơi	
dm đọc cmt cười dcd	
Bỏ chặn cmt của t đi m :))	
Chị cc	
Chào chị	
Alo Vân Anh (Vanh) chó aloo	
Răng xấu mà khoe :)))	
Hồng Đào Vô nứng l nè	
Dung Nguyen	
ai mà gãnhhh	
	
Như lồn	
tâm mỏ chề	
Như lồn	
Yêuuuuu	
mặn chưa chị	
Hello chị	
sửa mũi đi :)) mũi to như l trâu ó	
Như con điên	
gap anti fan chac tao cuoi ia Huỳnh Như Yến Ngọc	
Dui quá ha :) 	
Chị đừng cười nữa mà :(	
Dui ccg	
Chào Trường	
Em chào cj	
em xạo loz ak	
Chị ơi, chị đừng cười tươi wá nha chị, nó cứ như cái bàn càooo ấy ạ:(((	
Lướt thấy vô khịa 	
TÔN LẦM!!	
Chị có lo học đâu mà khuyên người tar :((	
Quang Hà	
zui qué	
anh said: sao chị xấu thế :(	
chị ơi chúc a11 thi đỗ c3 được k ạ	
chời sửa mũi đou vậy chị	
Fan chị mà Lo học chi, ráng thi 15đ để kiếm ra tiền giống chị	
iu chị	
Mấy má có diên ghê tự nhiên bảo người ta ngưng cười =))	
Helo chị	
Yêu ❤	
Moẹ ơi	
mũi trâu:))	
Ừ	
Gu ông này mặn zữ	
 Cười nhẹ thôi c ơi. Răng nó ra ngoài hết rồi	
Em k ghét chị	
Miệng cười xinh lấy tay che miệng chi vậy chị😚	
	
:v cười ít thôi :v đau lắm	
Haha	
Xin quá chị ưi	
em muốn lái =))	
Buồn của ảnh 	
thôi xem tiktok của n đi chứ xem stream như này nhìn ghê vl	
Chòi oi chòi oi	
Lol	
Toàn răng 😂😂😂	
:(	
Chị ơi thấy em không huhu	
T xĩuuu nganggg	
Còn em thì tan trong bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo bo 	
Răng chị vổ nhỉ :)))	
chị nói chuyện nhạt quá	
Bớt yêu chị tâm đi mấy mé =))) tao cừ t xĩu bh	
đã quá	
Phi Yến idol ống cống 🥴	
Phương Hiền hay quá ạ	
Thôi lái máy bay luôn đi e 	
méo méo méo	
Chị xinh gái	
Chị đừng cười gượng nữa là xinh lắm nhaa c hihi	
Chị ơi chào em đi👋	
mắc cười quá hyhy	
Đó là tác hại của việc chơi đá	
Cười vừa thôi ,toác con mẹ nó lợi ra kìa	
choii oi	
Trời ơi cái mủi to như phù thủy luôn á . 	
	
Đào Ngọc Linh	
037599999	
	
Coi vì hóng drama coi cái mỏ nó có hỗn hay k thôi	
🤦🏻‍♀️	
Chị nay xinh quá 😏	
may quá quá đi 😍	
Mạnh	
Chị yêu ơi	
Dẹo giữ ạ c	
Mái xinh quá c iuu	
8h học bà nọi m hả	
Tụi m lật mặt nhanh như bánh tráng v	
Thao Tran xem lèeee	
Hưởng Dương :)	
Giọng chị Tâm nghe dễ thương quá chời, dễ thương hất sức, dễ thương xỉu	
Đang định tải mà Thấy chị tâm tải là mình đéo muốn tải nữa lun á	
bí hiểm vlonnnn	
Man Ngọc Hoài Nhã	
Oanh Hào Nguyễn Thị Minh Ánh  dẹo vl dcm	
Bả dễ thương kìa🤦	
Má sản luôn á chị iuuu	
anh í gu mặn thật :((	
Chj ơi add e đi	
	
Răng hô vc	
zui ghê	
Khép miệng lại em gái	
15 con trâu có vật lại chị hông	
Chị xinh quá kìa	
Toàn thấy yêu chị Tâm =)))	
Ly chó hiện hình alo alo	
Chị cười tự nhiên ghê taaa :))	
Dặt dẹo quá	
em cũng muốn nữa	
C nói chuyện với anh đấy về cuộc sống và đời đi chị	
Hé lô chụy	
Chị tâm ngại 	
Helllllloooooo	
Chắc nhạt hơn thằng Khánh lớp tôi=)))	
Ngạii quá dạ	
Trần Ngọc Thư vô chào chuỵ đi	
Cắt mái xong nhìn dễ nhìn hơn nè có thiện cảm 🤭	
Hô vl	
Tiên :333	
"Chòi ôi❤❤
Tui thik làm anh ó quw😿"	
Thu Phượng cị po nè	
Răng mà hô hóa ra nạo dừa	
Mệt háng tâm quá tâm ơi	
Xinh vãi aaaaaa	
tư vấn em vô hồng bàng đi	
	
Hoàng Hồng Ánh Phạm Huế 	
Huy Phan	
chào chị bt kiếm ra tiền	
Dẹo giữ ạ	
choii oiii	
mèo méo meo mèo meo ai iu trần đức bo khum nào	
Gọi  em ik chị iuuu	
Sướng quá cj ơi	
Clm nghe giọng ngứa đít vl =))	
Surprise :)))	
Anh ơi hỏi chị làm mũi đâu đi anh	
Chị cười xinh quá.đừng cười nữa	
Mặt măm	
Sao chị hô thế	
Chị chào Khoa đi ạ	
😗 	
Oh mai gót	
chị cute qué :((	
Giờ này dô đây thấy toàn yêu chị Tâm. Tao mắc cười vl =)))))	
chắc đổ hết ạ	
sướng thế	
Quỳnh Trang đọc cmt cho zui	
Sướngggtg quá kiàaaaa	
Chị Tâm🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰♥️♥️🥰♥️🥰🥰🥰♥️🥰♥️🥰	
mèo méo meo mèo meo	
Cm	
hello buscu	
Ồ :)))	
Ui	
Má dẹo ít quá há	
cho xem mũi nữa ạ	
Chốt đơn hi	
cj ở 1 mk ạ	
em học hutech	
Yêu chị	
trui ui 	
Helo chị Tâm	
Thuỳ Dương	
Chị phát ngôn mất dậy ghê	
Trương Nhật Hoài chị Tâm dạy chị này làm thơ giúp e vs	
Anh Thanh Niên xời =)) t xem suốt nhó 	
Chết r c ơi máy e còn có 1% thôi mà ko thấy sạc đâu cả	1
Hở lợi kìa	
Trời ơi cái mủi to như phù thủy luôn á . 	
Chị khép mồm vào một chút được hum ạ	
Chào em cái đi chị tâm 	
Trần Đình Sơn	
cho nó nhìn răng đáng yêu của chị đi ạ	
Oiii mẹ ơii	
Em hâm mộ chị mỹ TÂM quá chi ơi <333 i love u chu cờ mo	
Chị đáng yêu quáaaa♥️	
Tâm nhận pr bao nhiêu 1 vid như này thế nhỉ=)))	
Đụ mẹ	
Nhếch	
Hii	
😂😂	
Chị ơi	
Show mặt mộc đi chị :)	
chi giup em lam kiem tra GDCD voi chi oi	
Chào e vs chị ơi	
Dù thế nào đi nữa em vẫn đứng về phía chị chị mỹ tâm ạ	
Nhìn gần mặt xấu vl	
tăm bén quá . xỉa răng rất tuyệt . mọi người ai mua tăm liên hệ mình nha	
chị tâm mũi bự ơi	
bé yêu ăn cơm chưa	
Chị ơi có phải đăng nhập j ko ủa r nhiều fan ko trả lời em hả 	
Luøng Hiēu cho em hỏi mẫu ipx màn hình cong vs ak	
Show mặt mộc đi chị :]]]	
Vậy lỡ em với chị thì Sao ạ	
với người âm được k chị	
Hello chị	
Hello	
Như cl	
Th th chị im mẹ mồm	
Okk	
Bị chửi nè 100%	
Hello chị yêu❤	
Ckào ckị iem đứng đây từ ckiều, mũi ckị xinh quạ cho iem làm wen được khongg?	
Đi đường quyền ko chị Tâm??	
Iu chị tâm nhiều chắc chị tâm kg hiểu	
Trần Trương Phương Nghi huhu hỏng mún chuỷn chỗ đâuuu	
hello chị 😽	
Tâm ơi 	
Nhìn xinh lắm à nha	
Chị Tâm nghe giọng dễ thương xỉu	
Chị cắt tóc mái xinh quw❤❤❤	
CHỊ TÂM	
Gọi em 😆😆 đi để choo emm mất ngủ	
Đm c	1
😘😘😘😘😘	
Tải r làm sao nx	
gọi tên em đi chị	
Thằng nao xui vậy	
Kiếm em đi chị ơi 	
Chị là thanh tâm hả khác dữ	
Hicc. Nay em quên đánh khối mũi hả Tâmm 🥺	
Khép mồm vào chị ơi	
App gì v chị	
Chị chào e đi chị	
 Wao thần bí ghê á	
CHỊ ƠI, EM TẢI XONG RỒI Ạ. MONG CHỊ REP Ạ. IU CHỊ NHIỀU LẮM❤❤❤❤	
Nguyễn Hi Hi thích chị lắm đó ạ 	
Nguyễn Hồng Phúc tôi xem ông phải xem	
Chán vl ra 	
Mũi to	
Cị ơii xinh quá	
he lo chi yeu	
Thần bí??? :)))	
Nãy h em tắt âm thanh mà tưởng chị chị câm không à	
Show mặt mộc ik chị ơi	
Nc bthg thôi bớt dẻo đeo lại nhìn kinh vl	
tăm ngọt nước	
Chào e vs chị ơi	
Hello chị Tâm xuynh gái, chị chào e đi	
Chào cj	
ÂM	
Xlol	
Giọng chị dễ thương quá ♥️♥️♥️♥️♥️🌸🌸🌸♥️	
Ấn tim quá tr vẫn kh được gọi tên xem tứk kh dậy	
Hi chị Tâmmm	
Ăn trầu phải gối lá giông, áo chị to thế bên trong có gì ???😆	
Xinh thế chị	
 áo cj mua ở đ z	
Bích Trí dô coi ai đồ nek	
nay xinh quá bà ~~	
❤❤❤	
chắc thấy chị chúng nó ném hết mẹ điện thoại í	
mũi to , mắt dếch	
 Hello chị	
Áo chị đẹp quá , chị mua ở đâu v ạ ?	
Chào e vs chj ơi	
App này chỉnh mũi được khong chị 	
Cái mũi thấy cưng quá dza	
Hello em đi chị	
😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭	
Tăm đẹp lắm 	
Hello bé Dương Ngọc Đoan Trang	
gọi tên kiến đi chị	
Xinh quá	
Hell	
Hello chị Tâmmm 	
Hello chị Tâm 	
chị Tâm xinh quá	
Ai đồ của ý nè TrươngThị NhưÝ	
ĐỌC TÊN EM ĐI CHỊ	
Hế lô chào mừng các streamer đến với trải nghiệm bị con gái đì top hight lí huyền thoại còn sợ tôi thì các ông đã là cái quáii gì cảnh bảo người đồng đội cũ hay cẩn thận đi vì điểm yếu của ôg tôi nắm chắc cái tàu thuyền hãy vào bờ ngay đi không thì hải đăng sẽ thành hải đắc............	
Hé lô cị	
Gọi tên e	
Vậy ó hỏ	
Hêêllo em đi :(((	
Heloo e Nekkkk	
Gọi ik	
Gọi tên em nữa chị ơi!!! 	
Chào bạn Nguyễn Rin	
chào e đi	
Dẹo chảy nước	
Con đĩ mẹ mày chứ ghép đôi	1
E cùng họ với chị này ciuuuu tên iemmmmm đi :33	
Chỉ em đi ạ	
Hi chị 	
 hi ngưu ma vương 	
Gọi tên e	
Thấy Tâm xinh thật á😍	
Tặng em cái đt đii :)	
He lôôô	
yêu quá à 	
Nhìn chị xinh thực sự luôn á	
tâm cute ơi	
hicccc	
Hello e nek	
Ok 	
Chào chụ	
Heelllooo chị iuuu	
pls :(((	
Gọi tên e	
Gọi em đi	
Buonnnn quassss	
Chị ơi	
Maiiiii mìnhhhhh ktra hoá mình chắc chắn 9₫ trong tay 1₫ trên giấy 😢	
Hey chào conn điên	
saoooo chị hokk helo em	
Hê nô con Chi Ca Vâu	
Filler bị tràn à :) mũi to thế	
Em yêu chị 😍	
Chào chị ạ 😳❤	
Trương Phạm Lan Anh định đỡ ghét mà xem live lại ghét vl ))	
Hello chị	
ĐỌC TÊN EM ĐI CHỊ	
Sao lỗ mũi bự dữ ạ	
Chị ơi!!!! 	
Gọi tên e gọi tên e	
Xinh xĩu~	
Lần sau tô cái lông mày nhạt nhạt thôi nha ba :)))	
CHÀO EM CÁI	
chị ko chàoem	
Thằng lz Hoàng Phú sủa cc gì vậy	
hello chị Tâm	
Cũng xinh, cũng cute :))))	
Chào chị em đứng đây từ hồi nãy	
Xinh quá	
chào e đi	
Chị ơi nhìn chị hay quá	
😭	
hello cj	
Linh Thuy	
Mũi này thái vội đc 2 đĩa nộm	1
Chị ơi	
Đc chị hello luôm	
Chào cj	
Cj đẹp lắm ak	
Em tên hiếu nha	
Gọi tên e ik chị	
 Gọi tên e	
Helo chị	
Xinh quá nè chiị	
Chào em đi chị eyy	
Chào cj	
...	
Em tải xong rồi chị	
E cùng họ với chị này ciuuuu tên iemmmmm đi :33	
Yến Mỹ	
Nguyễn Hoàng Huy trứng dán cần mỡ :))	
:v tải roài để lại cmt... Ở đó là Trần Thanh Tâm đưa tuii đến đây có đc hemm chị 😆😆😆	
Chào em đi chị	
Gọi tên e	
Chị ới chị gọi tên em đi ạ em stand chị lâu rồi á	
" Chào chị ,e đứng đây từ chiều!
"	
cút :)	
Chị Tâm dẽ thương quá à	
cj oii gọi tên em cj oi	
chị xinh quá	
oẹ	
Helo chị	
Đây là app j vậy chị em vào muộn em ko bt á chị	
em chao chi	
Lần đầu xem chị live	
Chào cj	
hỏi chấm xưng CHỊ ??	
Hà Bích HợpBích	
Duc Anh Nguyen	
chao cj tam	
Chị oi	
Chị ơi	
iu chị moa moa❤️❤️	
mo ho	
xin 	
Hoàng Ngọc Nhã Uyên	
Hello thấy tiền bối hong nhỉ	
Hello cj	
hêlô cj 😆	
 Gọi tên e	
chi co phai Tran Duc Bo hong?	
chị gọi tên e đi 1 lần hoy	
Chào chị yêu 	
Để em tải 	
Chị dễ thương quá .	
Em đn tải nho đt em nha	
Hong á 	
chào em điiii	
Chị ơi heloo e nè	
oẹ 	
Chào bear	
Chị ơi gọi tên em ❤️	
Chị ơi gọi tên em ❤️	
Hello cj nha 😅	
C đọc cmt của e đi ạ 	
Chào em đi chị	
Gọi tên e	
hi	
Để em tải	
Huy Hoàng Dương	
Tâm xing mà 	
Dễ thương quá ỏ	
App gì vậy ạ??	
ĐỌC TÊN EM ĐI CHỊ	
chào ê di	
Gọi điện làm lồn gì :(((	
ASD	
E cùng họ với chị này ciuuuu tên iemmmmm đi :33	
C cute quá	
Em chào chị ak😊	
Mũi chị to quá chị ơi	
Gọi tên e	
Gọi e điiii	
Dễ sương quấ à	
Helooo chị eyyyy	
Cài vào chị add e được không :))	
Add e ik chị	
cj tâm ơi đọc bình luận em ik	
chắc trên fb mỗi chị TRẦN THANH TÂM lớn nhất	
C ơii	
Chị ơi gọi tên em ❤️	
Thương chị nhiều	
cj ơi gọi tên e	
hôm nay chị quên đánh khối  à múi to quá trời hay chị bị ốm mũi nó bị sưng ạ 😣😣	
Chị gọi tên em đi chị	
Chào idol	
Kêu tên em đi	
Gọi tên em đi chị😢😢	
dạ	
helooo em nữa	
chị chào e đi chị '	
Á á .	
Alo vợ ơi	
Tóc cưng quớ dọ nè	
Gọi tên e	
Phương Hiền	
Gọi tên em đi chị	
Giọng chị dễ thương quá à❤	
Chị ơi gọi tên em ❤️	
Cute quá trời ơi dễ thương ghê nơi á	
Yến Phương má cái mũi	
Gọi tên em đi ạ	
Đi lạc đâu zô đâyy gặp aii cute quá	
J z tr	
chị ơi em có nhỏ bạn tênYến Nhi nó xạo xạo quá thì sao chị 	
Xink quá	
Hii chịii<33	
Mũi đẹp vậy chị:))	
E cùng họ với chị này ciuuuu tên iemmmmm đi :33	
em cho chi	
Chào Nguyễn Hồng Minh :)))	
Chị ơi gọi tên em ❤️	
hoc dao duc hoc lam nguoi chi oi	
hello chị	
Gọi tên e	
Yêu thía	
Kêu tên em đi 	
Gọi ik chị ơi	
Trần Diệu Hảo's :))?	
xinh quaa chi oiiiii =))	
Tâm Tâm Tâm	
Haha 	
Hello chị	
Chào em đii	
E cùng họ với chị này ciuuuu tên iemmmmm đi :33	
Phan Văn Đạt	
Cc	
Chị xinh thật 😘😘😘	
Chi PO ko chào em, dối	
Gọi tên e	
Nay xinh ta	
Lô🙋	
Nguyen Hai Yen 	
Ê chụy Tâmmm	
Hello chị	
em cho chi	
Chào chị ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤	
Nhi Yến Nguyễn ok	
Ng ơi ng hãy gọi tên e đi 😭😢	
Vãi ler	
Hello chị iu	
Yêu Tâm nhất	
Chị xinh quá đi	
Gọi tên e	
Bùi Diệu Hoa vào nghe chị đi em :)))	
Nguyễn Thành Dương	
Gọi tên em đi 	
Nguyễn Ngọc Minh Anh	
Dô coi idol live ne Nancy My :)))	
Hello chị	
Chị ơi gọi tên em ❤️	
Ừ cỵ 	
tải rùi chị có gọi ten em hongggg	
